section,condition,metric,value,class,unit
grid,13,ratio,1.3598938172877042,planning,dimensionless
grid,13,local7_support_factor,6.324555320336759,planning,x intensity
grid,13,se_delta_n_sigma0p5mV,0.02570727257357729,synthetic,dimensionless
grid,13,power_effect0p10_sigma0p5mV,0.9731957052706248,synthetic,probability
grid,13,incident_energy_5s_each_mJ,356.44762337997304,planning,mJ
grid,15,ratio,1.3014660887231955,planning,dimensionless
grid,15,local7_support_factor,4.859562131612256,planning,x intensity
grid,15,se_delta_n_sigma0p5mV,0.019617579218064063,synthetic,dimensionless
grid,15,power_effect0p10_sigma0p5mV,0.9991480379219713,synthetic,probability
grid,15,incident_energy_5s_each_mJ,406.90610226124795,planning,mJ
grid,17,ratio,1.2592986838463873,planning,dimensionless
grid,17,local7_support_factor,3.9881592966356063,planning,x intensity
grid,17,se_delta_n_sigma0p5mV,0.022420090534930354,synthetic,dimensionless
grid,17,power_effect0p10_sigma0p5mV,0.9937959644089625,synthetic,probability
grid,17,incident_energy_5s_each_mJ,457.44969375898535,planning,mJ
grid,19,ratio,1.2274486507771587,planning,dimensionless
grid,19,local7_support_factor,3.419951893353392,planning,x intensity
grid,19,se_delta_n_sigma0p5mV,0.025222601851796665,synthetic,dimensionless
grid,19,power_effect0p10_sigma0p5mV,0.9775042584353115,synthetic,probability
grid,19,incident_energy_5s_each_mJ,508.05012447798305,planning,mJ
point_noise_power,0.25,window7_effect0.05,0.9937959644089625,synthetic,probability
point_noise_power,0.25,window7_effect0.10,0.999999999998306,synthetic,probability
point_noise_power,0.25,window7_effect0.15,1.0,synthetic,probability
point_noise_power,0.25,window9_effect0.05,0.9983155940579692,synthetic,probability
point_noise_power,0.25,window9_effect0.10,0.9999999999999974,synthetic,probability
point_noise_power,0.25,window9_effect0.15,1.0,synthetic,probability
point_noise_power,0.5,window7_effect0.05,0.6065025366028948,synthetic,probability
point_noise_power,0.5,window7_effect0.10,0.9937959644089625,synthetic,probability
point_noise_power,0.5,window7_effect0.15,0.9999988799634738,synthetic,probability
point_noise_power,0.5,window9_effect0.05,0.6865126334291457,synthetic,probability
point_noise_power,0.5,window9_effect0.10,0.9983155940579692,synthetic,probability
point_noise_power,0.5,window9_effect0.15,0.9999999623099999,synthetic,probability
point_noise_power,1.0,window7_effect0.05,0.2001377740559549,synthetic,probability
point_noise_power,1.0,window7_effect0.10,0.6065025366028948,synthetic,probability
point_noise_power,1.0,window7_effect0.15,0.9170120352565772,synthetic,probability
point_noise_power,1.0,window9_effect0.05,0.23129172487723548,synthetic,probability
point_noise_power,1.0,window9_effect0.10,0.6865126334291457,synthetic,probability
point_noise_power,1.0,window9_effect0.15,0.9562693193596831,synthetic,probability
point_noise_power,2.0,window7_effect0.05,0.08630324464175487,synthetic,probability
point_noise_power,2.0,window7_effect0.10,0.2001377740559549,synthetic,probability
point_noise_power,2.0,window7_effect0.15,0.3870597964722472,synthetic,probability
point_noise_power,2.0,window9_effect0.05,0.09381582776968322,synthetic,probability
point_noise_power,2.0,window9_effect0.10,0.23129172487723548,synthetic,probability
point_noise_power,2.0,window9_effect0.15,0.45013384244511645,synthetic,probability
substrate_sensitivity,sd0.000_n5,effect0.05,0.9987641579468807,synthetic,probability
substrate_sensitivity,sd0.000_n5,effect0.10,0.9999999999999994,synthetic,probability
substrate_sensitivity,sd0.000_n5,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n7,effect0.05,0.9999593336575756,synthetic,probability
substrate_sensitivity,sd0.000_n7,effect0.10,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n7,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n9,effect0.05,0.9999988799634738,synthetic,probability
substrate_sensitivity,sd0.000_n9,effect0.10,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n9,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n12,effect0.05,0.9999999959286336,synthetic,probability
substrate_sensitivity,sd0.000_n12,effect0.10,1.0,synthetic,probability
substrate_sensitivity,sd0.000_n12,effect0.15,1.0,synthetic,probability
substrate_sensitivity,sd0.025_n5,effect0.05,0.9145683764058321,synthetic,probability
substrate_sensitivity,sd0.025_n5,effect0.10,0.9999986917436154,synthetic,probability
